"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","dg","0.4038","0.4093","0.4107","0.4146","0.4085"
"0.5","gaccs","0.4038","0.4075","0.4102","0.4132","0.4104"
"0.5","pr","0.4032","0.4075","0.4103","0.4123","0.4157"
"0.5","pr_w","0.4103","0.4103","0.4103","0.4103","0.4103"
"0.5","sp","0.4028","0.4087","0.4108","0.4132","0.4099"
"0.5","sp_w","0.3917","0.3917","0.3917","0.3917","0.3917"
"0.5","stg","0.4077","0.4077","0.4077","0.4077","0.4077"
"0.6","dg","0.4038","0.4079","0.4088","0.4152","0.4067"
"0.6","gaccs","0.4037","0.408","0.4087","0.4146","0.4093"
"0.6","pr","0.4026","0.4091","0.4102","0.4142","0.4146"
"0.6","pr_w","0.4135","0.4135","0.4135","0.4135","0.4135"
"0.6","sp","0.4029","0.4093","0.4094","0.4143","0.4098"
"0.6","sp_w","0.3924","0.3924","0.3924","0.3924","0.3924"
"0.6","stg","0.4074","0.4074","0.4074","0.4074","0.4074"
"0.7","dg","0.4021","0.4097","0.4111","0.4149","0.4081"
"0.7","gaccs","0.4018","0.4101","0.4114","0.4161","0.409"
"0.7","pr","0.4042","0.4088","0.4107","0.4177","0.4122"
"0.7","pr_w","0.4135","0.4135","0.4135","0.4135","0.4135"
"0.7","sp","0.402","0.4083","0.4116","0.4155","0.4067"
"0.7","sp_w","0.3903","0.3903","0.3903","0.3903","0.3903"
"0.7","stg","0.4101","0.4101","0.4101","0.4101","0.4101"
"0.8","dg","0.4016","0.4092","0.4142","0.4179","0.4119"
"0.8","gaccs","0.4018","0.4089","0.4144","0.4183","0.4102"
"0.8","pr","0.402","0.4087","0.4143","0.4163","0.4118"
"0.8","pr_w","0.4141","0.4141","0.4141","0.4141","0.4141"
"0.8","sp","0.4013","0.4074","0.4129","0.4163","0.4071"
"0.8","sp_w","0.3905","0.3905","0.3905","0.3905","0.3905"
"0.8","stg","0.4141","0.4141","0.4141","0.4141","0.4141"
"0.9","dg","0.402","0.4085","0.4129","0.4169","0.4119"
"0.9","gaccs","0.4014","0.4088","0.4128","0.4168","0.4097"
"0.9","pr","0.4016","0.4074","0.4121","0.417","0.4132"
"0.9","pr_w","0.4149","0.4149","0.4149","0.4149","0.4149"
"0.9","sp","0.402","0.4089","0.4137","0.4171","0.4095"
"0.9","sp_w","0.3885","0.3885","0.3885","0.3885","0.3885"
"0.9","stg","0.4134","0.4134","0.4134","0.4134","0.4134"
